Wall time,Step,Value
1787559688.849279,103680,-75.40980529785156
1787559689.2921267,103936,-75.70889282226562
1787559689.7874246,104192,-76.12612915039062
1787559690.2558563,104448,-76.34838104248047
1787559690.759944,104704,-75.99044799804688
1787559691.2444332,104960,-76.1388168334961
1787559691.675608,105216,-76.1800765991211
1787559692.0746934,105472,-76.20262145996094
1787559692.5474308,105728,-76.21068572998047
1787559693.0844336,105984,-76.55699920654297
1787559693.539335,106240,-77.1136245727539
1787559693.9723017,106496,-77.47401428222656
1787559695.4742157,107264,-77.3584213256836
1787559695.9927516,107520,-77.87242889404297
1787559696.505467,107776,-78.56069946289062
1787559696.9450378,108032,-78.44835662841797
1787559697.3862429,108288,-78.83586883544922
1787559697.8424957,108544,-78.48312377929688
1787559698.2778146,108800,-78.44221496582031
1787559698.7365992,109056,-78.52838897705078
1787559699.1763198,109312,-78.75030517578125
1787559699.574969,109568,-79.30758666992188
1787559700.5933764,110080,-79.69942474365234
1787559701.0290315,110336,-79.81675720214844
1787559701.5124857,110592,-79.80435943603516
1787559702.0142913,110848,-80.00599670410156
1787559703.0032818,111360,-79.62287902832031
1787559703.4692307,111616,-79.9176254272461
1787559704.0012631,111872,-79.71611022949219
1787559704.4396305,112128,-80.10250091552734
1787559704.9510953,112384,-80.39408874511719
1787559705.4740129,112640,-80.39022064208984
1787559705.949922,112896,-79.98472595214844
1787559706.415498,113152,-79.91415405273438
1787559707.3000035,113664,-79.68257904052734
1787559707.7864106,113920,-80.61164855957031
1787559708.2801588,114176,-81.20873260498047
1787559708.7463613,114432,-81.59063720703125
1787559709.2500577,114688,-81.55485534667969
1787559710.2358322,115200,-80.864990234375
1787559710.6735604,115456,-81.22588348388672
1787559711.1810493,115712,-80.76296997070312
1787559711.643993,115968,-80.5428237915039
1787559712.0666063,116224,-80.60237884521484
1787559712.5297444,116480,-80.85359191894531
1787559713.0410595,116736,-80.30414581298828
1787559713.5682523,116992,-79.77861785888672
1787559714.534455,117504,-80.44964599609375
1787559715.026137,117760,-81.03834533691406
1787559715.465896,118016,-80.83737182617188
1787559716.017402,118272,-80.8243637084961
1787559716.543347,118528,-81.34556579589844
1787559717.1085756,118784,-80.98938751220703
1787559717.6584604,119040,-80.43653869628906
1787559718.1006927,119296,-80.02810668945312
1787559718.5845187,119552,-80.14667510986328
1787559719.0859468,119808,-80.13934326171875
1787559719.5242114,120064,-79.52059173583984
1787559720.0264294,120320,-79.70465087890625
1787559720.5932171,120576,-79.73513793945312
1787559721.1716378,120832,-80.25540924072266
1787559722.2344964,121344,-79.75447082519531
1787559722.676115,121600,-79.32694244384766
1787559723.1908805,121856,-79.43486785888672
1787559724.7176025,122624,-78.71705627441406
1787559725.190145,122880,-78.25736999511719
1787559725.7140434,123136,-78.39696502685547
1787559726.1957676,123392,-78.81061553955078
1787559726.6476102,123648,-78.84663391113281
1787559727.1233382,123904,-78.8512954711914
1787559727.6037192,124160,-78.4451675415039
1787559728.1564345,124416,-78.77850341796875
1787559728.6042335,124672,-78.95421600341797
1787559729.0360882,124928,-79.41531372070312
1787559729.51458,125184,-78.91458892822266
1787559730.0509355,125440,-79.18099212646484
1787559730.520268,125696,-79.17807006835938
1787559731.0631034,125952,-79.1583023071289
1787559731.9379878,126464,-80.9854736328125
1787559732.4328856,126720,-80.60641479492188
1787559732.8181627,126976,-81.06282806396484
1787559733.880407,127488,-80.84143829345703
1787559734.2834282,127744,-81.17848205566406
1787559734.7444565,128000,-81.55171203613281
1787559735.6563811,128512,-81.82678985595703
1787559736.1387088,128768,-82.1457290649414
1787559736.572705,129024,-81.46958923339844
1787559737.8811905,129792,-82.0905990600586
1787559738.3516912,130048,-81.97128295898438
1787559738.8507736,130304,-82.12105560302734
1787559739.2619565,130560,-81.98133087158203
1787559739.7251244,130816,-82.45681762695312
1787559740.1927826,131072,-82.38771057128906
1787559740.6410654,131328,-82.50360107421875
1787559741.1122136,131584,-82.7567138671875
1787559741.5369928,131840,-82.90766143798828
1787559742.4520972,132352,-82.33333587646484
1787559742.9014308,132608,-81.88817596435547
1787559743.5134187,132864,-81.58222198486328
1787559743.9581785,133120,-81.49042510986328
1787559744.528366,133376,-81.6765365600586
1787559745.0216293,133632,-81.28433990478516
1787559745.540684,133888,-81.3258056640625
1787559746.0445945,134144,-81.65941619873047
1787559747.4657888,134912,-82.52189636230469
1787559747.9554412,135168,-82.781982421875
1787559748.4774144,135424,-82.82840728759766
1787559749.5195985,135936,-82.3673324584961
1787559749.9836214,136192,-82.34101104736328
1787559750.4200914,136448,-81.64826965332031
1787559750.9041119,136704,-81.0543441772461
1787559751.3262072,136960,-80.67533111572266
1787559751.7655928,137216,-81.09683227539062
1787559752.1740186,137472,-81.49479675292969
1787559752.6339693,137728,-82.1349868774414
1787559753.1435032,137984,-82.19007110595703
1787559753.5111861,138240,-82.10686492919922
1787559754.0877454,138496,-81.92567443847656
1787559754.6309729,138752,-81.88365936279297
1787559755.0750344,139008,-81.96887969970703
1787559755.5982919,139264,-81.51624298095703
1787559756.0762231,139520,-80.98990631103516
1787559756.908063,140032,-80.30497741699219
1787559757.405517,140288,-80.540771484375
1787559757.9525788,140544,-80.93666076660156
1787559758.4328487,140800,-81.25699615478516
1787559758.9029975,141056,-80.24592590332031
1787559759.8895528,141568,-79.29138946533203
1787559760.3847013,141824,-79.53284454345703
1787559760.7455902,142080,-79.2607421875
1787559761.2201598,142336,-79.26567840576172
1787559761.6779609,142592,-80.0523910522461
1787559762.7677205,143104,-79.47029113769531
1787559763.190828,143360,-79.556396484375
1787559763.7164109,143616,-78.99853515625
1787559764.1965826,143872,-78.9610595703125
1787559764.660992,144128,-79.0174789428711
1787559765.0957506,144384,-78.59062957763672
1787559765.491081,144640,-78.87129974365234
1787559766.5134099,145152,-78.38375854492188
1787559766.9631505,145408,-78.77055358886719
1787559767.4106753,145664,-78.17625427246094
1787559767.8303502,145920,-77.97452545166016
1787559768.2029202,146176,-77.62647247314453
1787559768.6872697,146432,-76.82546997070312
1787559769.1286817,146688,-76.74142456054688
1787559769.5627112,146944,-76.78961181640625
1787559770.5062907,147456,-77.23441314697266
1787559770.9971292,147712,-77.69998931884766
1787559771.4463422,147968,-78.4258804321289
1787559772.7934904,148736,-79.15821838378906
1787559774.7376127,149760,-78.37269592285156
1787559775.1247532,150016,-78.31663513183594
1787559775.6718216,150272,-78.08568572998047
1787559776.557082,150784,-78.12895202636719
1787559776.9900305,151040,-77.799072265625
1787559777.4785185,151296,-77.6959228515625
1787559778.0750754,151552,-77.9684829711914
1787559778.5485494,151808,-78.41907501220703
1787559779.112428,152064,-78.48878479003906
1787559779.631139,152320,-78.01345825195312
1787559780.111059,152576,-78.38887786865234
1787559780.5821607,152832,-78.29513549804688
1787559781.0507488,153088,-78.2002182006836
1787559781.5011346,153344,-78.43499755859375
1787559781.9959674,153600,-78.24267578125
1787559782.9299052,154112,-78.212646484375
1787559783.3801413,154368,-77.92264556884766
1787559783.866394,154624,-78.31343078613281
1787559784.3612556,154880,-78.1073226928711
1787559784.7768357,155136,-78.28971099853516
1787559785.2728293,155392,-77.9278793334961
1787559785.7961934,155648,-77.49091339111328
1787559786.2624383,155904,-77.6151123046875
1787559786.7350464,156160,-77.57398986816406
1787559787.196596,156416,-77.36730194091797
1787559788.1403728,156928,-77.62348937988281
1787559788.5160477,157184,-77.64666748046875
1787559788.9024427,157440,-77.182373046875
1787559789.367083,157696,-76.66961669921875
1787559789.7110753,157952,-76.9418716430664
1787559790.261193,158208,-77.01029968261719
1787559790.7851896,158464,-76.93803405761719
1787559791.2131517,158720,-76.7397232055664
1787559791.6046464,158976,-76.3926773071289
1787559792.0771883,159232,-76.67986297607422
1787559792.5408316,159488,-76.4771957397461
1787559792.982602,159744,-76.56166076660156
1787559793.9350367,160256,-77.05229949951172
1787559794.3999028,160512,-77.25173950195312
1787559794.925044,160768,-77.29468536376953
1787559795.402604,161024,-77.66767120361328
1787559795.9224312,161280,-78.046142578125
1787559797.4432387,162048,-78.048828125
1787559798.0040953,162304,-77.59345245361328
1787559798.4793477,162560,-77.73336791992188
1787559799.0400867,162816,-76.83450317382812
1787559799.490346,163072,-76.42559051513672
1787559799.9064343,163328,-76.43309783935547
1787559800.8436859,163840,-75.62554168701172
1787559801.1874123,164096,-75.9280014038086
1787559801.6308076,164352,-76.00275421142578
1787559801.9931333,164608,-76.25904846191406
1787559802.4642391,164864,-76.70594787597656
1787559802.9523904,165120,-76.55018615722656
1787559803.3552144,165376,-76.65245819091797
1787559803.851109,165632,-76.86971282958984
1787559804.8326995,166144,-77.09783935546875
1787559805.3028004,166400,-77.11799621582031
1787559806.2157505,166912,-77.16584014892578
1787559806.7606797,167168,-77.67066192626953
1787559807.2480016,167424,-77.13716888427734
1787559807.6984398,167680,-77.15255737304688
1787559808.0806427,167936,-77.02989959716797
1787559808.9718745,168448,-77.19307708740234
1787559809.4642568,168704,-77.98548889160156
1787559809.9314606,168960,-77.97136688232422
1787559810.4664817,169216,-77.93315887451172
1787559810.9880548,169472,-78.40206146240234
1787559811.4127007,169728,-78.34626770019531
1787559811.8768518,169984,-78.26342010498047
1787559812.3566928,170240,-78.05291748046875
1787559812.808808,170496,-78.71366882324219
1787559813.3124275,170752,-78.95869445800781
1787559813.6858885,171008,-78.96403503417969
1787559814.5329256,171520,-79.20701599121094
1787559814.9342663,171776,-79.74291229248047
1787559815.4221592,172032,-79.48638153076172
1787559815.8125596,172288,-79.15486145019531
1787559816.3037786,172544,-79.0621337890625
1787559817.1898708,173056,-79.54289245605469
1787559817.6170495,173312,-79.66972351074219
1787559818.0722358,173568,-79.47737884521484
1787559818.608368,173824,-79.66171264648438
1787559819.0771005,174080,-80.25553131103516
1787559819.6306539,174336,-80.77208709716797
1787559820.561494,174848,-80.30291748046875
1787559820.9937296,175104,-80.74913024902344
1787559821.406367,175360,-80.20349884033203
1787559821.8247461,175616,-80.08882904052734
1787559822.2231634,175872,-80.45039367675781
1787559822.7650447,176128,-80.93585205078125
1787559823.2158442,176384,-81.01815795898438
1787559823.7820785,176640,-80.70527648925781
1787559824.2427428,176896,-81.06929016113281
1787559825.2018404,177408,-81.19139862060547
1787559825.7178752,177664,-82.0264892578125
1787559826.182522,177920,-82.11680603027344
1787559826.6808114,178176,-82.18131256103516
1787559827.160794,178432,-82.30561828613281
